name,price
小米米家 直流變頻循環風扇 循環扇 風扇,"$1,980"
(福利品)【歌林】10吋DC扇/風扇/電扇/機身輕薄KFC-MN1029 保固免運,$540
百威 14吋 3段速機械式電風扇 FR-14119,$499
日本KOTSURU 日系寧夏無線輕電風扇 327,$699
SAMPO聲寶 16吋 7段速微電腦遙控DC直流電風扇 SK-FU16DR,"$2,588"
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FQ14,$888
惠騰 14吋 3段速機械式電風扇 FR-14119,$549
【歌林】台灣製造潔白款14吋立扇/電風扇KF- LN1417 保固免運,$972
TECO東元 12吋 3段速機械式電風扇 XYFXA1220,$788
(福利品)【歌林】9吋夜光情境3D立體擺頭DC循環扇/電風扇KFC-MN931DC 保固免運,"$1,782"
SAMPO聲寶 16吋 3段速機械式電風扇 SK-FQ16,"$1,088"
Panasonic國際牌 14吋 7段速微電腦遙控ECO溫控DC直流電風扇 F-L14GMD,"$3,590"
CHIMEI奇美 14吋 7段速微電腦遙控ECO溫控DC直流電風扇 DF-14B0ST,"$1,988"
SANLUX 台灣三洋 8吋DC可攜式USB電風扇 SBF-08D,$989
北歐風 7吋 迷你USB充電式靜音電風扇 FAN-202,$590
台灣三洋 SANLUX 14吋 DC節能直立式遙控立扇/電風扇 EF-P14DK,"$1,900"
富王 16吋 3段速360度循環電風扇 FW-1638,$875
SAMPO聲寶 14吋 7段速微電腦遙控DC直流電風扇 SK-FP14DR,"$1,988"
SAMPO聲寶 14吋 7段速微電腦遙控DC直流電風扇 SK-FU14DR,"$2,388"
友情牌 14吋 3段速手提式電風扇 KB-923 彩蝶花籃箱扇,$900
TATUNG大同 18吋 3段速機械式電風扇 TF-L18A,"$1,890"
KAMOME FKLT-281D 電風扇(白),"$4,490"
(福利品)【歌林】360度旋轉DC球型扇/循環扇/電風扇KF-LNDC05B 保固免運,"$2,502"
百威 14吋 3段速機械式電風扇 FR-14119,$499
HANG 迷你便攜小風扇 充電靜音隨身小電風扇 三擋風力 清新小風扇 清涼一夏 時尚美觀,$429
HERAN禾聯 14吋 3段速機械式電風扇 HAF-14SH510,$799
日本KOTSURU 8吋 3段速日系寧夏無線輕電風扇 327,$699
SHARP夏普 16吋 8段速微電腦遙控ECO溫控DC直流電風扇 PJ-H16PGA 自動除菌離子,"$3,590"
Panasonic國際牌 16吋 6段速微電腦遙控DC直流電風扇 F-S16DMD,"$3,190"
TECO東元 14吋 3段速機械式電風扇 XA1455AA,$990
USB充電可擺頭迷你夾扇電風扇 FAN-BP35S,$650
TECO東元 14吋 3段速機械式電風扇 XA1455AA,"$1,180"
DOSHISHA 4段速膠囊DC直流電風扇 FTS-801D WH,"$3,690"
AIRMATE艾美特 3段速USB手持迷你靜音電風扇 BSMI認證,$369
(福利品)【富士電通】10吋DC扇/風扇/電扇/機身輕薄-灰白FT-LEF101 保固免運,$720
SAMPO聲寶 16吋 7段速微電腦遙控DC直流電風扇 SK-FP16DR,"$2,188"
聯統14吋升降桌立兩用涼風扇(顏色隨機) LT-3522,$578
Panasonic國際牌 12吋 6段速微電腦遙控DC直流電風扇 F-S12DMD,"$2,690"
Panasonic國際牌14吋 6段速微電腦遙控DC直流電風扇 F-S14DMD,"$2,990"
TECO東元 14吋 7段速微電腦遙控DC直流電風扇 XA1405BRD,"$1,590"
伍田18吋 超廣角循環涼風扇 立扇 WT-1811S,"$1,080"
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FQ14,$840
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FV14 星鑽型,"$1,080"
Panasonic國際牌16吋 6段速微電腦遙控DC直流電風扇 F-S16DMD,"$3,190"
Baseus 方盒夜燈夾子360度旋轉桌面風扇,$490
【Stay】兩用桌面手持充電usb風扇迷你小風扇 電風扇 充電扇 迷你風扇 隨身風扇 三段風扇【N30】,$99
歌林kolin 14吋 3段速機械式電風扇 KF-SH14A03 水藍色,$799
TECO東元 14吋 3段速機械式電風扇 XA1448AA,$968
TECO東元 14吋 3段速機械式電風扇 XYFXA1421,$988
SAMPO聲寶 14吋 7段速微電腦DC直流電風扇 SK-FS14DR,"$1,590"
伍田14吋超廣角循環涼風桌扇 WT-1413S,$880
SUNHOW上豪14吋 3段速機械式電風扇 FN-1456,$680
【AVIAIR】DC無扇葉闊風機RQ8/氣流循環/風扇/電扇 保固免運,"$3,014"
鄉村 16吋 3段速高級五葉片電風扇 S-1606,$699
SEE YOU 多段式多用途無線變形可攜電風扇 SC-500,$990
【富士電通】10吋DC扇/風扇/電扇-灰白FT-LEF101 保固免運,$891
友情牌12吋手提涼風扇(超值2入組) KB-1285,"$1,450"
TECO東元 14吋 3段速機械式電風扇 XA1448AA,$968
Panasonic國際牌 14吋 8段速微電腦遙控ECO溫控DC直流電風扇 F-H14GND,"$3,290"
SPT尚朋堂 8吋 2段速DC直流電風扇 SF-0808DC,$490
9.7吋加濕器版懸浮收納USB充電式落地電風扇,"$2,560"
Panasonic國際牌 12吋 6段速微電腦遙控DC直流電風扇 F-S12DMD,"$2,690"
友情牌 16吋 3段速古典電風扇 KD-1689 超值2入組,"$2,580"
SAMPO聲寶 12吋 3段速定時機械式電風扇 SK-FJ12T,$974
HAGENUK哈根諾克 16吋 7段速微電腦遙控DC直流電風扇 HGN-168DC,"$1,690"
AIRMATE艾美特 USB垂直翻轉充電手持電風扇 U901,$529
勳風 USB充電式超亮檯燈電風扇 HF-B067U,$699
TECO東元 16吋 7段速微電腦遙控DC直流電風扇 XA1605BRD,"$1,690"
東亮 14吋 3段速強化金屬管電風扇 TL-1461,"$1,290"
HELLO KITTY 12吋 3段速定時機械式電風扇 KT-826 台灣製,"$1,980"
HERAN禾聯 16吋 3段速機械式電風扇 HAF-16SH510,$899
AIRMATE艾美特 USB垂直翻轉充電手持電風扇 U901,$529
Beroso倍麗森 無線廣角行動負離子空調電風扇 BE-D00009,"$1,258"
友情牌 14吋 3段速古典電風扇 KD-1489 超值2入組,"$1,999"
4吋圓形USB雙葉片靜音電風扇,$398
友情10吋手提涼風箱型扇 KB-1085,$720
TECO東元 14吋 3段速微電腦遙控定時電風扇 XYFXA1413BR,"$1,190"
雙星 18吋 3段速360度循環電風扇 TS-1803,$799
東銘 18吋 3段速3D立體擺頭電風扇 TM-1871M,$950
SAMPO聲寶 16吋 3段速機械式電風扇 SK-FV16 星鑽型,"$1,280"
正負零±0 極簡風12吋生活電風扇 XQS-Z710 (粉色),"$1,990"
SAMPO聲寶 16吋 3段速定時機械式電風扇 SK-FN16T 星鑽型,"$1,380"
東亮 18吋 3段速強化金屬管電風扇 TL-1861 超值2入組,"$2,880"
Kolin歌林 3段速定時涼風大廈扇 KF-UD32B,$999
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FV14 星鑽型,"$1,080"
日本iNeno 360度USB夾立式電風扇,$399
中央興 18吋 3段速高級鐵盤電風扇 UC-S183,"$1,580"
5.5吋方盒造型360度LED燈USB充電式夾扇電風扇 FAN-2816,$490
TATUNG大同 14吋 10段速微電腦遙控ECO溫控DC直流電風扇 TF-L14DN,"$2,590"
中央牌 14吋 9段速遙控DC內旋式循環扇電風扇 KDS-142SR-W,"$2,880"
雙星 16吋 3段速機械式電風扇 TS-1601,$615
TECO東元 14吋 7段速微電腦遙控DC直流電風扇 XA1409BRD,"$1,572"
SAMPO聲寶 18吋 3段速機械式電風扇 SK-FA18,"$1,488"
友情10吋手提涼風箱型扇(KB-1086),$749
TECO東元 16吋 3段速機械式電風扇 XA1655AA,"$1,249"
金展輝 12吋 3段速360°旋轉電風扇 AB-1211 塑膠葉,$590
泰浦樂 18吋 8段速微電腦遙控ECO溫控藍芽音箱DC直流電風扇 CA43866 送口罩防痛條,"$3,084"
LAPOLO 3段速收納式電風扇 LA-7216,$990
旭風 16吋 3段速360度旋轉立體廣角電風扇 SY-1637,$899
Kolin歌林16吋超大風量涼風扇 KF-LN166,"$1,180"
正負零±0 極簡風12吋生活電風扇 XQS-Z710 (芥末黃),"$1,990"
Panasonic國際牌 16吋 8段速微電腦遙控ECO溫控DC直流電風扇 F-H16GND-K,"$3,690"
正負零±0 極簡風12吋DC直流電風扇 XQS-Y620(象牙白),"$3,999"
TECO東元 14吋 7段速微電腦遙控DC直流電風扇 XA1409BRD,"$1,572"
Panasonic國際牌 16吋 8段速微電腦遙控ECO溫控DC直流電風扇 F-H16GND,"$3,490"
伍田12吋超廣角循環涼風扇 WT-1211S,$590
SAMPO聲寶 14吋 3段速定時機械式電風扇 SK-FN14T 星鑽型,"$1,080"
伊娜卡14吋多功能冷風扇 ST-5189,$790
超萌兔兔手持電扇,$290
AIRMATE艾美特 14吋 16段速微電腦遙控DC直流電風扇 AS35130R,"$2,780"
SAMPO聲寶 16吋 3段速定時機械式電風扇 SK-FN16T 星鑽型,"$1,180"
SUNHOW上豪 14吋 3段速機械式電風扇 FN-1469,$780
華信 14吋 3段速機械式電風扇 HF-1499 超值2入組,"$1,090"
上豪 16吋 3段速機械式電風扇 FN-1620,$780
HELLO KITTY 12吋 3段速定時機械式電風扇 KT-826 台灣製,"$1,980"
SUNHOW上豪 14吋 3段速機械式電風扇 FN-1442,$780
TECO東元 14吋 3段速微電腦遙控定時電風扇 XYFXA1413BR,"$1,190"
AIRMATE艾美特 3段速USB文青立式手持電風扇 U501 雲杉綠,$459
TECO東元 16吋 3段速機械式電風扇 XA1655AA,"$1,190"
北方 USB桌上型電風扇 TF400,$499
Mitsubishi三菱電機 12吋 5段速3D擺頭DC直流電風扇 R12A-DW,"$10,900"
SUNHOW上豪 14吋 VR無段式調控DC直流電風扇 FN-DC147A,"$1,290"
TECO東元 14吋 3段速機械式電風扇 XYFXA1420,$988
晶工牌9吋循環涼風扇(超值2入組) JK-109,"$1,200"
聯統 10吋手提涼風扇 LT-1018,$530
勳風 12吋 3段速360度超循環電風扇 HF-B1282,$549
中央興16吋外旋轉超靜音涼風扇 UC-NS16,"$1,380"
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FW14,$988
友情牌 14吋 3段速機械式電風扇 KA-1455,$699
大家源 12吋 3段速360度旋風電風扇 TCY-881201,$699
雙星 16吋 3段速360度立體擺頭電風扇 TS-1618,$690
MITSUBISHI三菱 12吋三段速電風扇 R12A-RW,"$2,680"
惠騰10吋手提涼風扇 FR-306,$549
SPT尚朋堂 14吋 6段速微電腦遙控DC直流電風扇 SF-1482DC,"$1,690"
尚朋堂 14吋 3段速8字擺頭機械式電風扇 SF-1914PD,"$1,190"
AIRMATE艾美特 12吋 12段速微電腦遙控DC直流電風扇 FS30002R 不鏽鋼,"$2,480"
TECO東元 14吋 3段速機械式電風扇 XYFXA1420,$988
SUNHOW上豪 14吋 3段速機械式電風扇 FN-1469,$780
SUNHOW上豪 12吋 3段速機械式電風扇 FN-1217,$680
聯統牌 14吋 3段速平網電風扇 LT-1429P 白紫配色,$890
聯統14吋升降桌立兩用涼風扇(顏色隨機) LT-3522,$578
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FV14 星鑽型,"$1,088"
Benks 多功能二合一加濕器電風扇 F18,"$1,090"
CHIMEI奇美 16吋 7段速微電腦遙控ECO溫控DC直流電風扇 DF-16B0ST,"$2,188"
大家源 16吋 3段速機械式電風扇 TCY-851601,$899
recolte日本麗克特 10段速USB充電Cordless桌上型電風扇 RTF-1(W) 自然白,"$1,180"
金展輝 18吋 3段速小金剛工業電風扇 A-1802,$713
美國Lasko 泰晤士二代 工業風復古12吋電風扇 立扇 VT4A-30CR,"$2,180"
LAPOLO藍普諾 3段速USB充電式折疊電風扇 LA-7216,$990
HANG 3段速270度旋轉靜音大風量迷你便攜電風扇 570S,$449
歌林Kolin USB多功能夾扇電風扇 KEF-HCA01,$428
WiWU 掛脖USB電風扇,$590
伍田 18吋 3段速超廣角循環涼風電風扇 WT-1811S,"$1,080"
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FV14 星鑽型,"$1,088"
友情牌 16吋 3段速古典電風扇 KD-1689,"$1,390"
金展輝 16吋 360度旋轉電風扇 A1611 顏色隨機,$790
尚朋堂 14吋 3段速8字擺頭機械式電風扇 SF-1914PD,"$1,190"
尚朋堂 14吋 3段速機械式電風扇 SF-1462P,$790
雙星14吋手提涼風箱型扇 TS-1466,$790
TECO東元 USB充電式手持桌立兩用電風扇 白色 超值2入組,$595
伍田14吋超廣角循環涼風扇 WT-1411S,$799
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FV14 星鑽型,"$1,080"
伊娜卡 16吋 3D立體擺頭商業電風扇 ST-1672M,$850
尚朋堂 14吋 3段速機械式電風扇 SF-1476P,"$1,190"
Panasonic國際牌 12吋 6段速微電腦遙控DC直流電風扇 F-S12DMD,"$2,690"
【Kolin歌林】16吋超大風量涼風扇 KF-LN166,"$1,020"
勳風 14吋 旋風式充電插座二用DC直流循環電風扇 HF-B26U 櫻花粉 鋰電/夠強/安靜,"$1,580"
TECO東元 14吋 3段速機械式電風扇 XYFXA1421,$988
華信 16吋 3段速機械式電風扇 HF-1689 超值2入組,"$1,399"
HERAN禾聯 14吋 12段速微電腦遙控DC直流電風扇 14C5N-HDF,"$1,990"
伍田14吋超廣角循環涼風扇(2入組) WT-1411S,"$1,680"
百威 14吋 3段速機械式電風扇 FR-14119,$580
Giaretti義大利 14吋 24段速微電腦遙控3D擺頭DC直流電風扇 GL-1424,"$2,480"
Mitsubishi三菱電機 12吋 5段速3D擺頭DC直流電風扇 R12A-DW,"$11,000"
Panasonic國際牌 14吋 3段速微電腦自然風電風扇 F-L14BMS,"$1,370"
SAMPO聲寶 18吋 7段速微電腦遙控DC直流電風扇 SK-FA18DR,"$2,588"
華信 14吋 3段速機械式電風扇 HF-1499,$599
SDL山多力 16吋 3段速360度多功能旋轉電風扇 FT-1602,"$1,099"
金展輝16吋超廣角多功能循環涼風扇 A-1611 超值2入組,"$1,290"
Siroca 6段速日式美型DC直流電風扇 SF-L2510W 白色,"$4,290"
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FQ14,$880
Panasonic國際牌 14吋 8段速微電腦遙控ECO溫控DC直流電風扇 F-H14EXD-K,"$5,690"
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FQ14,$840
汽車用車載電風扇 黑銀雙色,$390
安寶 6吋 3段速充電式LED燈DC電風扇 AB-6620,$720
晶工牌 9吋循環涼風扇 JK-109,$595
HERAN禾聯 14吋 12段速微電腦遙控DC直流電風扇 HDF-14AH770,"$1,490"
(福利品)【歌林】尊爵黑DC遙控定時斜塔大廈扇/5段風量調整/大廈扇/電風扇KF-MN102S 保固免運,"$2,502"
Panasonic國際牌 14吋 8段速微電腦遙控ECO溫控DC直流電風扇 F-H14EXD-K,"$5,690"
Panasonic國際牌 16吋 8段速微電腦遙控ECO溫控DC直流電風扇 F-H16EXD-K 晶鑽棕,"$5,890"
友情牌10吋手提涼風扇(超值2入組) KB-1086,"$1,350"
Panasonic國際牌 16吋 8段速微電腦遙控ECO溫控DC直流電風扇 F-H16EXD-K 晶鑽棕,"$5,890"
FJ 擺頭噴霧夾式USB電風扇 W14 多可調角度,$499
QHL酷奇 6吋 手提便攜USB靜音電風扇,$690
友情牌10吋手提涼風扇(超值2入組) KB-1081,"$1,280"
山崎優賞16吋遙控型涼風立扇 SK-1690SR(領券再折100元),"$1,690"
惠騰 14吋 3段速機械式電風扇 FR-14119 超值2入組,$999
正負零±0 極簡風12吋生活電風扇 XQS-Z710 (白色),"$1,990"
SUNHOW上豪 14吋 11段速微電腦遙控DC直流電風扇 FN-DC1411R,"$1,598"
TECO東元 12吋 3段速機械式電風扇 XYFXA1220,$788
SDL山多力 14吋 3段速機械式雙層護網電風扇 SL-1406,$799
SAMPO聲寶 18吋 7段速微電腦遙控DC直流電風扇 SK-FA18DR,"$2,588"
8吋 長頸鹿折疊電風扇 FAN-008,"$1,190"
華冠 10吋 3段速單拉壁扇電風扇 BT-1008,$540
TECO東元 16吋 3段速機械式電風扇 XYFXA1620,"$1,088"
(福利品)【歌林】ECO智能涼風扇/附搖控/擺頭/定時/大廈扇/立扇 KF-MN106S 保固免運,"$1,782"
SAMPO聲寶 14吋 3段速定時機械式電風扇 SK-FN14T 星鑽型,"$1,080"
SAMPO聲寶 14吋 3段速機械式電風扇 SK-FQ14 快速到貨,$880
AIRMATE艾美特 14吋 8段速微電腦遙控DC直流電風扇 FS35PC9R,"$1,580"
SAMPO聲寶 12吋 3段速定時機械式電風扇 SK-FJ12T,$974
正負零±0 極簡風12吋生活電風扇 XQS-Z710 (芥末黃),"$1,990"
聯統 14吋 無段速VR調整360度3D立體擺頭電風扇 LT-8814,$990
台灣三洋 SANLUX 12吋機械式立扇/風扇 EF-12STA1,"$1,030"
USB充電夾式夜燈風扇 720度無死角旋轉 小風扇 (贈送三洋鋰電池),$390
SAMPO聲寶 16吋 3段速機械式電風扇 SK-FW16,"$1,188"
TECO東元 16吋 3段速機械式電風扇 XYFXA1620,"$1,088"
【無線版】小米米家 智米直流變頻無線落地扇2S 續航20小時 新上市 風扇 水冷扇,"$3,880"
TECO東元 14吋 7段速微電腦遙控DC直流電風扇 XA1405BRD,"$1,490"
SAMPO聲寶 16吋 7段速微電腦遙控DC直流電風扇 SK-FU16DR,"$2,588"
Kolin歌林18吋超大風量涼風扇 KF-LN1820,"$1,680"
伍田12吋超廣角循環涼風扇(2入) WT-1211S,$999
KINYO 8吋 USB充插電式電風扇,$799
伍田16吋超廣角循環涼風扇(2入組) WT-1611S,"$1,680"
韓國爆款 左右擺頭風扇 手持風扇兩用 辦公室桌扇 USB充電風扇,$480
小米即品桌面風扇 直流迷你風扇 大風力 靜音風扇 四擋風速 USB風扇,$680
AIRMATE艾美特 12吋 3段速微電腦遙控電風扇 AS3083R 台灣製造,"$1,080"
正負零±0 極簡風12吋DC直流電風扇 XQS-Y620(象牙白),"$3,999"
SPT尚朋堂 8吋 2段速DC直流電風扇 SF-0808DC 超值2入組,$949
TATUNG大同 12吋 3段速機械式電風扇 TF-L12ER,"$1,090"
recolte日本麗克特 10段速USB充電Cordless桌上型電風扇 RTF-1(BL) 冰心藍,"$1,180"
CHIMEI奇美 14吋 7段速微電腦遙控ECO溫控DC直流電風扇 DF-14B300,"$1,988"
中央興18吋桌上型高效速涼風扇 UC-D18B,"$1,320"
松木MATRIC 16吋 3段速定時機械式電風扇 MY-AF1602T,$999
Kolin歌林 9吋 2段速USB超薄DC直流電風扇 KF-HC300,$899
SAMPO聲寶 18吋 3段速機械式電風扇 SK-FA18,"$1,488"
SAMPO聲寶 16吋 7段速微電腦遙控DC直流電風扇 SK-FP16DR,"$1,980"
SAMPO聲寶 16吋 3段速機械式電風扇 SK-FQ16,"$1,080"
TECO東元 14吋 3段速機械式電風扇 XA1455AA,$990
SDL山多力 16吋 3段速機械式電風扇 SL-168B 超值2入組,"$1,290"
SOLOVE素樂 3段速USB無線充電手持電風扇 N9P,$799
